time, X Target PCS_11_1_PCS(mm), X Actual PCS_11_2_PCS(mm), Y Target PCS_12_1_PCS(mm), Y Actual PCS_12_2_PCS(mm), Z Target PCS_13_1_PCS(mm), Z Actual PCS_13_2_PCS(mm), TCPCmdVel_9_19_, TCPActVel_9_20_
0.000,420.001245,420.007817,0.002245,-0.002539,444.996000,445.061797,0.000000,0.068228
3.951,420.001245,420.007891,0.002245,-0.002266,444.996000,445.061997,0.000000,0.086469
7.958,420.001245,420.007924,0.002245,-0.002340,444.996000,445.061598,0.000000,0.101698
11.928,420.001245,420.007924,0.002245,-0.002266,444.996000,445.061598,0.000000,0.018392
15.921,420.001245,420.007817,0.002245,-0.002539,444.996000,445.061797,0.000000,0.088611
39.956,420.001245,420.007891,0.002245,-0.002539,444.996000,445.061797,0.000000,0.070663
43.929,420.001245,420.007744,0.002245,-0.002340,444.996000,445.061598,0.000000,0.079500
47.924,420.001245,420.007817,0.002245,-0.002539,444.996000,445.061797,0.000000,0.072839
51.903,420.001245,420.007964,0.002245,-0.002539,444.996000,445.061997,0.000000,0.061940
55.917,420.001245,420.007817,0.002245,-0.002266,444.996000,445.061797,0.000000,0.092150
59.910,420.001245,420.007817,0.002245,-0.002466,444.996000,445.061797,0.000000,0.049836
63.954,420.001245,420.007817,0.002245,-0.002539,444.996000,445.061797,0.000000,0.018392
67.931,420.001245,420.007817,0.002245,-0.002539,444.996000,445.061797,0.000000,0.000000
71.924,420.001245,420.007744,0.002245,-0.002266,444.996000,445.061598,0.000000,0.086469
76.012,420.001245,420.007817,0.002245,-0.002466,444.996000,445.061797,0.000000,0.072839
79.921,420.001245,420.007817,0.002245,-0.002466,444.996000,445.061797,0.000000,0.000000
83.912,420.001245,420.007817,0.002245,-0.002266,444.996000,445.061797,0.000000,0.049836
87.909,420.001245,420.007817,0.002245,-0.002266,444.996000,445.061797,0.000000,0.000000
91.977,420.001245,420.007817,0.002245,-0.002340,444.996000,445.061797,0.000000,0.018392
95.915,420.001245,420.007817,0.002245,-0.002539,444.996000,445.061797,0.000000,0.049836
